branch,scheme,semester,course_code,subject_name,start_page,end_page,page_count,pdf_file
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,GAEST305,DIGITAL ELECTRONICS AND LOGIC DESIGN (Common to Group A),23,27,5,pdfs/S3_GAEST305.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,GAMAT301,MATHEMATICS FOR COMPUTER AND INFORMATION SCIENCE-3 (Group A),2,5,4,pdfs/S3_GAMAT301.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,PBCST304,OBJECT ORIENTED PROGRAMMING (Common to CS/CA/CD/AM/CB/CN/CU/CG),15,22,8,pdfs/S3_PBCST304.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,PCCSL307,DATA STRUCTURES LAB (Common to CS/CA/CM/CD/CR/AI/AM/AD/CB/CN/CC/CU/CI/CG),42,47,6,pdfs/S3_PCCSL307.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,PCCSL308,DIGITAL LAB (Common to CS/CM/AM/CN),48,54,7,pdfs/S3_PCCSL308.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,PCCSL508,Unknown Subject,209,218,10,pdfs/S3_S4_PCCSL508.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,PCCST302,THEORY OF COMPUTATION (Common to CS/CA/CM/CD/CN/CC),6,10,5,pdfs/S3_PCCST302.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,PCCST303,DATA STRUCTURES AND ALGORITHMS (Common to CS/CA/CM/CD/CR/AI/AM/AD/CB/CN/CC/CU/CI/CG),11,14,4,pdfs/S3_PCCST303.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,UCHUT346,ECONOMICS FOR ENGINEERS,28,34,7,pdfs/S3_S4_UCHUT346.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S3,UCHUT347,ENGINEERING ETHICS AND SUSTAINABLE DEVELOPMENT,35,41,7,pdfs/S3_S4_UCHUT347.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,GAMAT401,Mathematics for Computer and Information Science – 4 (Group A),55,58,4,pdfs/S4_GAMAT401.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PBCST404,COMPUTER ORGANIZATION AND ARCHITECTURE (Common to CS/CD/CR/CA/AD/CB/CN/CC/CU/CG),67,71,5,pdfs/S4_PBCST404.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PCCSL407,OPERATING SYSTEMS LAB (Common to CS/CD/CM/CR/CA/AI/CB/CN/CC/CU/CI/CG),126,132,7,pdfs/S4_PCCSL407.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PCCSL408,DBMS LAB (Common to CS/CD/CR/CA/AD/AI/CB/CN/CC/CU/CI/CG),133,138,6,pdfs/S4_PCCSL408.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PCCSL508,Unknown Subject,209,218,10,pdfs/S3_S4_PCCSL508.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PCCST402,DATABASE MANAGEMENT SYSTEMS (Common to CS/CD/CA/CR/AD/AI/CB/CN/CC/CU/CI/CG),59,62,4,pdfs/S4_PCCST402.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PCCST403,OPERATING SYSTEMS (Common to CS/CD/CM/CR/CA/AD/AI/CB/CN/CC/CU/CI/CG),63,66,4,pdfs/S4_PCCST403.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST411,SOFTWARE ENGINEERING (Common to CS/CD/CM/CR/CA/AD/AM/CB/CN/CU/CI),72,75,4,pdfs/S4_PECST411.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST412,PATTERN RECOGNITION (Common to CS/CM/CA/AM/CN/CI),76,79,4,pdfs/S4_PECST412.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST413,FUNCTIONAL PROGRAMMING (Common to CS/CD/CM/CR/CA/AD/AM/CB/CN/CU/CG),80,82,3,pdfs/S4_PECST413.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST414,CODING THEORY (Common to CS/CM/AM/CI),83,85,3,pdfs/S4_PECST414.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST415,VLSI DESIGN (Common to CS/CN/CI),103,107,5,pdfs/S4_PECST415.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST416,SIGNALS AND SYSTEMS (Common to CS/CD/CM/CA/AM/CB/CN/CU/CI),86,89,4,pdfs/S4_PECST416.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST417,SOFT COMPUTING (Common to CS/CD/CM/CR/CA/AD/AI/AM/CB/CN/CI),90,93,4,pdfs/S4_PECST417.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST418,COMPUTATIONAL GEOMETRY (Common to CS/CM),94,98,5,pdfs/S4_PECST418.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST419,"CYBER ETHICS, PRIVACY AND LEGAL ISSUES (Common to CS/CM/CA/AM)",99,102,4,pdfs/S4_PECST419.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,PECST495,ADVANCED DATA STRUCTURES (Common to CS/CD/CM/CA/AM/CB/CN/CC/CU/CI/CG),108,111,4,pdfs/S4_PECST495.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,UCHUT346,ECONOMICS FOR ENGINEERS,28,34,7,pdfs/S3_S4_UCHUT346.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S4,UCHUT347,ENGINEERING ETHICS AND SUSTAINABLE DEVELOPMENT,35,41,7,pdfs/S3_S4_UCHUT347.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PBCST504,MICROCONTROLLERS (Common to CS/CC),152,158,7,pdfs/S5_PBCST504.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PCCSL507,NETWORKS LAB (Common to CS/CD/CM/CB/CU/CI),199,208,10,pdfs/S5_PCCSL507.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PCCST501,COMPUTER NETWORKS (Common to CS/CD/CM/CR/CA/AD/AI/CB/CN/CU/CI),139,142,4,pdfs/S5_PCCST501.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PCCST502,DESIGN AND ANALYSIS OF ALGORITHMS (Common to CS/CD/CM/AM/CB/CN/CU/CG),143,147,5,pdfs/S5_PCCST502.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PCCST503,MACHINE LEARNING (Common to CS/AD/CR/CA/CC/CD),148,151,4,pdfs/S5_PCCST503.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST521,SOFTWARE PROJECT MANAGEMENT (Common CS/CD/CM/CR/CA/AD/AM),159,162,4,pdfs/S5_PECST521.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST522,ARTIFICIAL INTELLIGENCE,163,166,4,pdfs/S5_PECST522.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST523,DATA ANALYTICS,167,170,4,pdfs/S5_PECST523.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST524,DATA COMPRESSION ( Common to CS/CD/CM/CR/AD/AI/AM/CN/CI),171,174,4,pdfs/S5_PECST524.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST525,DATA MINING (Common to CS/CD/CM/CA/AM),188,191,4,pdfs/S5_PECST525.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST526,DIGITAL SIGNAL PROCESSING (Common to CS/CM/CA/AM),175,179,5,pdfs/S5_PECST526.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST527,COMPUTER GRAPHICS & MULTIMEDIA (Common to CS/CD/CR/CA/AD),180,183,4,pdfs/S5_PECST527.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST528,ADVANCED COMPUTER ARCHITECTURE,184,187,4,pdfs/S5_PECST528.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S5,PECST595,ADVANCED GRAPH ALGORITHMS,192,198,7,pdfs/S5_PECST595.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,OECST611,DATA STRUCTURES,280,282,3,pdfs/S6_OECST611.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,OECST612,DATA COMMUNICATION (Common to CS/CM/CD/CA),283,286,4,pdfs/S6_OECST612.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,OECST613,FOUNDATIONS OF CRYPTOGRAPHY,287,289,3,pdfs/S6_OECST613.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,OECST614,MACHINE LEARNING FOR ENGINEERS (Common to CS/CA/CD/CM/CR/AD/AM/AI),290,294,5,pdfs/S6_OECST614.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,OECST615,OBJECT ORIENTED PROGRAMMING (Common to CS/CA/CD/CM/AM/AD),295,299,5,pdfs/S6_OECST615.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PBCST604,FUNDAMENTALS OF CYBER SECURITY,273,279,7,pdfs/S6_PBCST604.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PCCSL607,SYSTEMS LAB,300,306,7,pdfs/S6_PCCSL607.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PCCST601,COMPILER DESIGN (Common to CS/CD/CU/CC/CN/CB),219,222,4,pdfs/S6_PCCST601.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PCCST602,ADVANCED COMPUTING SYSTEMS,223,226,4,pdfs/S6_PCCST602.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST631,SOFTWARE TESTING (Common to CS/CA/CM/CD/CR/AM/AD),227,231,5,pdfs/S6_PECST631.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST632,DEEP LEARNING,232,235,4,pdfs/S6_PECST632.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST633,WIRELESS & MOBILE COMPUTING (Common to CS/CM/AM),236,239,4,pdfs/S6_PECST633.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST634,ADVANCED DATABASE SYSTEMS (Common to CS/CM/CR/AM/AD),240,244,5,pdfs/S6_PECST634.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST635,CLOUD COMPUTING (Common to CS/CA/CM/AM),261,264,4,pdfs/S6_PECST635.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST636,DIGITAL IMAGE PROCESSING (Common to CS/CM/CA/AM),245,248,4,pdfs/S6_PECST636.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST637,FUNDAMENTALS OF CRYPTOGRAPHY (Common to CS/CM/CR/AM/AD),249,252,4,pdfs/S6_PECST637.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST638,QUANTUM COMPUTING (Common to CS/CM/CR/AD/AM),253,256,4,pdfs/S6_PECST638.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST639,RANDOMIZED ALGORITHMS,257,260,4,pdfs/S6_PECST639.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S6,PECST695,MOBILE APPLICATION DEVELOPMENT (Common to CS/CA/CB/CN),265,272,8,pdfs/S6_PECST695.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,OECST721,CYBER SECURITY,384,386,3,pdfs/S7_OECST721.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,OECST722,CLOUD COMPUTING,387,389,3,pdfs/S7_OECST722.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,OECST723,SOFTWARE ENGINEERING,390,394,5,pdfs/S7_OECST723.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,OECST724,COMPUTER NETWORKS,395,397,3,pdfs/S7_OECST724.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,OECST725,MOBILE APPLICATION DEVELOPMENT (Common to CS/CA/CM/CD/CR/AI/AM/AD),398,402,5,pdfs/S7_OECST725.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,PECST741,FORMAL METHODS IN SOFTWARE ENGINEERING (Common to CS/CR/CM/CA/AD/AM),307,309,3,pdfs/S7_PECST741.pdf
Computer Science and Engineering,B.Tech Full Time 2024 Scheme,S7,PECST742,WEB PROGRAMMING (Common to CS/CA/CM/CD/CR/AD/AM),310,313,4,pdfs/S7_PECST742.pdf
